site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,86.664246,102.661095
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,79.94012,104.42818
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,80.95968,106.20576
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,86.10425,108.725746
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,88.70583,109.67079
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,81.1474,105.31486
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,83.94946,108.647964
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,81.886475,107.29698
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,83.24772,100.419945
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,84.936104,15.300773
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,90.14603,15.768354
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,84.30619,18.239656
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,80.68595,12.447433
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,82.96707,17.70136
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,87.04314,22.994137
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,87.822075,13.219003
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,84.28411,17.011501
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,156.8928,134.83136
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,156.81761,147.54599
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,154.71239,152.34071
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,162.77214,163.1345
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,158.94753,168.821
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,164.28767,166.02841
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,-1,154.6394,154.83435
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,-1,157.76506,152.6325
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,-1,160.91316,144.8875
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,-1,161.61171,135.47714
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,-1,155.75867,142.84392
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,-1,157.10219,150.34903
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,-1,157.37138,156.04051
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,-1,162.26218,166.78813
5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,-1,110.11322,140.22557
5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,-1,111.51526,140.00963
5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,-1,112.72103,135.15842
5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,-1,119.0534,124.97072
5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,-1,118.74684,126.175766
5a0546857ecc773753327266_146035943a1482883ed98570_0000000035158,-1,114.05292,133.06438
5a0546857ecc773753327266_146035943a1482883ed98570_0000000040966,-1,112.30816,138.9953
5a0546857ecc773753327266_146035943a1482883ed98570_0000000049330,-1,113.09764,138.25203
5a0546857ecc773753327266_146035943a1482883ed98570_0000000055485,-1,113.52724,139.20691
5a0546857ecc773753327266_146035943a1482883ed98570_0000000063866,-1,111.1749,147.09834
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000000009,0,87.241585,59.124
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000012833,0,85.61079,55.35729
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000021759,0,89.82657,55.749702
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000035154,0,85.2535,46.49356
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000043072,0,87.96986,55.5372
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000050947,0,89.73669,66.868614
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000064333,0,85.437355,54.185238
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000071770,0,87.94848,53.933365
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000000010,0,45.69597,115.21674
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000006961,0,55.265713,113.61507
