site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,87.05388,101.965004
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,79.49864,104.78332
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,80.69545,105.59861
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,86.24717,109.52324
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,85.49959,108.44005
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,82.05794,106.771095
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,83.20865,109.98209
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,82.74587,106.79014
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,83.92285,100.64169
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,83.61409,15.276454
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,93.32896,17.403648
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,82.36574,19.752058
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,80.005585,14.03452
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,82.9357,16.520195
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,85.6931,23.04376
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,88.79239,15.244846
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,84.421364,18.478937
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,158.37779,133.92726
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,156.54996,148.20926
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,156.48141,152.60254
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,161.84857,163.45435
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,159.25215,169.53606
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,163.53722,168.46652
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,-1,156.20485,154.2782
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,-1,157.65854,151.22258
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,-1,160.42929,143.50394
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,-1,160.8647,137.97041
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,-1,155.72769,143.21748
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,-1,157.09528,150.4978
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,-1,158.06752,155.33076
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,-1,163.19995,167.92665
5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,-1,111.50946,138.9261
5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,-1,111.891556,138.74275
5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,-1,114.27613,134.95103
5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,-1,117.359245,124.46843
5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,-1,119.21118,126.0401
5a0546857ecc773753327266_146035943a1482883ed98570_0000000035158,-1,115.32711,131.71214
5a0546857ecc773753327266_146035943a1482883ed98570_0000000040966,-1,112.77716,137.65692
5a0546857ecc773753327266_146035943a1482883ed98570_0000000049330,-1,113.68956,137.3165
5a0546857ecc773753327266_146035943a1482883ed98570_0000000055485,-1,114.20289,138.0434
5a0546857ecc773753327266_146035943a1482883ed98570_0000000063866,-1,109.64845,148.17928
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000000009,0,87.501755,59.43344
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000012833,0,85.73664,53.915417
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000021759,0,91.42064,55.096264
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000035154,0,85.95449,46.620266
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000043072,0,87.49955,56.77118
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000050947,0,88.63436,65.70513
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000064333,0,85.0298,54.752254
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000071770,0,88.15969,54.896576
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000000010,0,46.625904,115.702324
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000006961,0,55.035038,114.563
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000013051,0,58.586998,113.64789
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000019370,0,52.917545,115.26131
