site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,90.571655,103.244865
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,86.75548,100.79874
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,85.05434,105.064995
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,89.28089,108.79408
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,87.92727,108.296745
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,75.36838,109.95739
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,87.52099,105.25921
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,77.39557,107.43136
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,87.20151,100.02748
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,85.11442,17.445856
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,87.63092,16.363405
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,83.30474,18.709372
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,80.72808,14.555265
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,85.75542,20.685005
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,87.6842,20.288906
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,84.871346,14.918919
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,86.53781,20.075771
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,161.34663,136.1189
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,158.30504,148.23378
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,157.35619,150.99435
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,160.5052,159.58444
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,160.16592,167.00772
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,166.34119,167.38155
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,-1,160.68105,155.98874
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,-1,161.5548,152.21597
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,-1,160.8568,146.66283
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,-1,163.2079,142.28691
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,-1,158.85411,148.34396
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,-1,157.67288,151.09853
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,-1,157.7602,154.11902
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,-1,162.70236,165.31108
5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,-1,111.16723,140.99005
5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,-1,110.082085,140.77806
5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,-1,112.25184,140.41217
5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,-1,117.31926,129.37401
5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,-1,116.48836,126.51441
5a0546857ecc773753327266_146035943a1482883ed98570_0000000035158,-1,114.22708,132.11948
5a0546857ecc773753327266_146035943a1482883ed98570_0000000040966,-1,114.51434,134.48267
5a0546857ecc773753327266_146035943a1482883ed98570_0000000049330,-1,112.75117,139.0595
5a0546857ecc773753327266_146035943a1482883ed98570_0000000055485,-1,113.60902,137.2221
5a0546857ecc773753327266_146035943a1482883ed98570_0000000063866,-1,112.32226,143.44417
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000000009,0,89.98091,53.64823
