site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0.0,92.21157,99.80332
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0.0,84.91668,100.21256
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0.0,86.67923,104.27588
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0.0,88.63916,108.400635
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0.0,88.66445,111.76896
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0.0,80.92234,110.390274
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0.0,87.84197,108.72931
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0.0,80.8471,106.50345
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0.0,84.965546,99.86881
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0.0,83.73887,13.303274
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0.0,89.841705,15.265294
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0.0,84.48123,14.068096
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0.0,79.36524,13.189083
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0.0,83.88262,17.746183
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0.0,89.18608,17.71931
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0.0,89.30538,15.181622
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0.0,88.4205,22.394539
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,0.0,157.76425,136.53168
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,0.0,157.14929,144.56674
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,0.0,158.42427,150.19563
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,0.0,159.73611,156.7782
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,0.0,160.23547,165.9688
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,0.0,166.69313,165.17134
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,0.0,162.8183,156.59383
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,0.0,162.32333,149.8584
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,0.0,161.24837,143.9983
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,0.0,160.67795,136.33034
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,0.0,157.12103,144.31749
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,0.0,161.79211,149.28706
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,0.0,159.48367,155.92552
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,0.0,165.202,164.47852
5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,0.0,108.64773,146.54335
5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,0.0,110.11216,140.72615
5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,0.0,112.95343,133.72766
5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,0.0,116.2158,126.44176
5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,0.0,119.03804,127.54705
5a0546857ecc773753327266_146035943a1482883ed98570_0000000035158,0.0,113.62969,132.2251
5a0546857ecc773753327266_146035943a1482883ed98570_0000000040966,0.0,115.82073,133.77443
5a0546857ecc773753327266_146035943a1482883ed98570_0000000049330,0.0,114.01605,138.0241
5a0546857ecc773753327266_146035943a1482883ed98570_0000000055485,0.0,112.962585,141.46219
5a0546857ecc773753327266_146035943a1482883ed98570_0000000063866,0.0,112.33238,143.55492
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000000009,0.0,90.44055,59.00283
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000012833,0.0,92.640114,52.88971
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000021759,0.0,94.57545,59.310528
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000035154,0.0,88.929436,52.958336
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000043072,0.0,84.668945,54.617268
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000050947,0.0,85.85028,61.046215
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000064333,0.0,88.45195,53.722157
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000071770,0.0,93.54433,52.575954
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000000010,0.0,47.173286,118.17341
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000006961,0.0,53.873917,111.92551
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000013051,0.0,60.421043,113.80963
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000019370,0.0,60.007454,110.88666
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000027427,0.0,53.57624,112.296
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000033372,0.0,47.562717,115.68172
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000046249,0.0,46.155254,112.8222
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000055236,0.0,52.70956,111.595116
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000062606,0.0,60.56256,110.82847
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000071831,0.0,59.931778,107.67162
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000080815,0.0,53.145355,108.13084
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000087232,0.0,45.916615,109.167534
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000000009,0.0,18.203974,121.11056
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000007022,0.0,22.38328,120.98421
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000012073,0.0,26.78202,121.25444
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000016344,0.0,30.697222,121.43541
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000021335,0.0,34.438663,121.234184
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000029226,0.0,30.846735,121.391136
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000035850,0.0,30.055166,121.88004
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000043355,0.0,23.531027,121.699745
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000049672,0.0,24.222334,124.481445
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000057036,0.0,20.275728,121.72968
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000061607,0.0,20.243076,123.25706
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000000010,0.0,93.367714,110.2962
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000006597,0.0,97.881836,112.38994
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000012043,0.0,108.77402,113.20684
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000016388,0.0,112.09364,115.07268
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000022345,0.0,112.57153,115.613
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000029746,0.0,116.98898,113.215
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000041215,0.0,110.28746,109.21338
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000057771,0.0,110.31927,109.187065
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000065216,0.0,108.397446,112.73256
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000074453,0.0,114.24129,111.909325
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000080138,0.0,112.09752,115.27646
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000088849,0.0,112.405876,120.828285
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000000012,0.0,100.00365,81.084236
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000010362,0.0,96.65077,74.68427
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000016791,0.0,95.361916,66.15214
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000021695,0.0,95.13168,66.36123
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000035250,0.0,91.65333,68.06955
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000042252,0.0,92.55629,71.3053
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000050072,0.0,95.33176,74.77387
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000057094,0.0,95.82148,75.62607
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000063488,0.0,97.663124,81.7855
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000072612,0.0,98.85335,74.53484
5a0546857ecc773753327266_6d89334316127640cff99800_0000000000012,0.0,113.21626,107.95668
5a0546857ecc773753327266_6d89334316127640cff99800_0000000008432,0.0,117.723366,103.36403
5a0546857ecc773753327266_6d89334316127640cff99800_0000000017044,0.0,120.72687,107.73128
5a0546857ecc773753327266_6d89334316127640cff99800_0000000027938,0.0,116.84909,113.00105
5a0546857ecc773753327266_6d89334316127640cff99800_0000000034373,0.0,118.24555,118.603035
5a0546857ecc773753327266_6d89334316127640cff99800_0000000043333,0.0,121.08756,113.68019
5a0546857ecc773753327266_6d89334316127640cff99800_0000000050678,0.0,121.15802,107.459755
5a0546857ecc773753327266_6d89334316127640cff99800_0000000059402,0.0,124.87785,111.07698
5a0546857ecc773753327266_6d89334316127640cff99800_0000000069531,0.0,121.12586,114.10008
